id,name,brewery_id,state,country,style,availability,abv,notes,retired
202522,Olde Cogitator,2199,CA,US,English Oatmeal Stout, Rotating,7.3,No notes at this time.,f
82352,Konrads Stout Russian Imperial Stout,18604,,NO,Russian Imperial Stout, Rotating,10.4,No notes at this time.,f
214879,Scottish Right,44306,IN,US,Scottish Ale, Year-round,4,No notes at this time.,t
320009,MegaMeow Imperial Stout,4378,WA,US,American Imperial Stout, Winter,8.7,Every time this year,f
246438,Peaches-N-Cream,44617,PA,US,American Cream Ale, Rotating,5.1,No notes at this time.,f
8036,World Burp Beer 2002,3469,,JP,Japanese Rice Lager, Limited (brewed once),5.5,No notes at this time.,t
108605,Icon Sender,22598,CA,US,American Lager, Year-round,5.6,No notes at this time.,f
345382,Divina IPA,45567,,IT,American IPA, Rotating,6.5,No notes at this time.,f
255286,Light Of The Ozarks,11203,AR,US,American Lager, Rotating,4.3,No notes at this time.,f
29556,Warrior's Bock,8203,SK,CA,German Bock, Rotating,7.5,No notes at this time.,t
106840,Firehouse Coffee Stout,25251,,AU,English Stout, Limited (brewed once),5,No notes at this time.,t
253234,Coffee Infused Bitter,46862,WA,US,English Bitter, Rotating,3.5,No notes at this time.,f
15271,Belgian Style Wit,1345,WA,US,Belgian Witbier, Year-round,4.5,No notes at this time.,t
69212,Réserve No. 3,18796,QC,CA,American Strong Ale, Limited (brewed once),11.8,No notes at this time.,t
181442,Southern Saints India Wheat Ale,33659,NC,US,American Pale Wheat Ale, Spring,6.9,No notes at this time.,f
351259,Champagne Toast,34416,WA,US,Berliner Weisse, Rotating,4,No notes at this time.,f
303023,The Sky Is High (wet Hopped Pale Ale),46616,NJ,US,American Pale Ale (APA), Limited (brewed once),5.2,"This hazy pale ale is brewed with fresh Cascade, Centennial, and Chinook hops from Sky High Hops. It is then dry hopped heavily with Cascade and Chinook.",t
265827,Addison,30870,PA,US,American Pale Ale (APA), Rotating,5.5,No notes at this time.,f
219798,Ocean Barley Wine,16420,,SE,British Barleywine, Year-round,9.8,No notes at this time.,f
110318,Schwartz Hop,22598,CA,US,American Black Ale, Limited (brewed once),6,No notes at this time.,t
262655,Stove By A Whale,45045,MA,US,Baltic Porter, Year-round,7.4,No notes at this time.,f
15645,Cerveza India,846,,PR,American Adjunct Lager, Year-round,2,No notes at this time.,t
123597,Bojan Wielkopolskie,35034,,PL,European Pale Lager, Year-round,5,No notes at this time.,f
138971,Porter,34412,NC,US,American Porter, Rotating,5.3,No notes at this time.,f
368953,Sneaky Raz,46938,GA,US,Fruit and Field Beer, Limited (brewed once),6.5,No notes at this time.,f
31135,Rock Ice,1491,,CR,American Adjunct Lager, Year-round,4.7,No notes at this time.,f
199068,Eastwood - Equinox,33278,CA,US,American Imperial IPA, Limited (brewed once),8.2,No notes at this time.,t
165236,Fortuna,30,CO,US,American Wild Ale, Limited (brewed once),8.1,Sour ale that is aged in Tequila barrels with lime zest and salt.,t
80010,Joy Division Series: No Love Lost,25186,PA,US,American Black Ale, Limited (brewed once),7.8,No notes at this time.,t
337139,Walshtown,17089,SD,US,Irish Red Ale, Rotating,5.3,No notes at this time.,f
166955,Leinenkugel's Ginger Shandy,710,WI,US,Fruit and Field Beer, Rotating,4.2,No notes at this time.,f
336865,Episode 6: Hazy Pale Ale Citra & Galaxy & Lemon Drop,48963,,PL,English Pale Ale, Rotating,5.1,No notes at this time.,f
55175,Samuel Adams New World Lager,35,MA,US,American Amber / Red Lager, Limited (brewed once),1.7,No notes at this time.,t
105547,Bavarias Best Imperial Stout,5855,,DE,American Imperial Stout, Year-round,10,No notes at this time.,f
201463,Dudeling,42740,CA,US,Belgian Saison, Rotating,5.9,No notes at this time.,f
251078,Eldo Fresh Hop IPA,34416,WA,US,American IPA, Limited (brewed once),6,No notes at this time.,t
73633,Troubadour Magma Special Edition 2011 - Cascade Hop,195,,BE,Belgian IPA, Limited (brewed once),9.5,No notes at this time.,t
200033,Forest Nymph,42273,MN,US,Rye Beer, Limited (brewed once),4.5,"Deep amber with tan foam. Fragrance of spicy rye, caramelized raisins and toasted fall spices. Flavors are reminiscent of freshly baked cinnamon raisin bread, light bodied and refreshing.",t
174277,Trip In The Woods: Madeira Aged Ovila,140,CA,US,Belgian Quadrupel (Quad), Limited (brewed once),5,No notes at this time.,t
184151,Tasmanian Wild Ale,13670,,AU,American Wild Ale, Rotating,4.9,No notes at this time.,f
274604,Weizen To ILL,39889,IL,US,German Hefeweizen, Rotating,5.75,No notes at this time.,f
183296,Furlong,26884,ON,CA,Belgian Saison, Limited (brewed once),4.5,No notes at this time.,t
217475,Iced Caramel Macchiato Stout,37521,FL,US,American Stout, Limited (brewed once),4.6,No notes at this time.,t
55,Redhook Double Black Stout,18134,NH,US,American Imperial Stout, Rotating,7,Brewed with coffee.,f
354484,Cranberry,48516,OH,US,Fruit and Field Beer, Rotating,5.8,No notes at this time.,f
162786,Smoke On The Water,37593,,BR,Smoke Beer, Year-round,6.7,No notes at this time.,f
331283,Village V Anniversary - Barrel Aged Tripel,28517,AB,CA,Belgian Tripel, Limited (brewed once),10,No notes at this time.,f
350364,Pretty Peach,43087,IL,US,German Hefeweizen, Summer,4.1,No notes at this time.,f
180974,Mighty Fine,22524,GA,US,American Amber / Red Ale, Limited (brewed once),6,No notes at this time.,t
37042,Lomond Gold,3396,GB6,GB,Scottish Ale, Year-round,5,No notes at this time.,f
182262,Wild Billy Winter Bock,25935,CA,US,German Bock, Winter,7.25,No notes at this time.,f
144221,Java-Lantern Porter,35374,NC,US,Pumpkin Beer, Limited (brewed once),8,No notes at this time.,t
108359,George Dickel Whisky Barrel Aged Lemon Pale Ale,1056,NE,US,American Pale Ale (APA), Limited (brewed once),6,No notes at this time.,t
246535,Helles Bock,44691,NY,US,German Maibock, Limited (brewed once),7.5,No notes at this time.,t
213171,Icon Series: Coffee Porter,337,TX,US,American Porter, Limited (brewed once),6.2,No notes at this time.,t
78658,Marina The Grim North Black IPA,28476,,ES,American Black Ale, Limited (brewed once),7,No notes at this time.,t
206018,Sheena,38829,,RU,American IPA, Year-round,6,No notes at this time.,f
175138,La Blanche De Drummond,40690,QC,CA,Belgian Witbier, Year-round,6,No notes at this time.,f
243977,IPA,28253,CO,US,American IPA, Year-round,6.5,No notes at this time.,f
71854,Three Flowers,812,CA,US,Rye Beer, Rotating,6.5,No notes at this time.,f
183447,Mutter Zebain's Dunkelhefe,586,NH,US,German Dunkelweizen, Rotating,6.5,No notes at this time.,f
220844,La Temps Des Brunes,2998,,BE,Belgian Dark Ale, Winter,6,No notes at this time.,f
332972,Vibin’,31805,FL,US,American Lager, Rotating,5,No notes at this time.,f
372422,Aw Jeff-It,35996,MN,US,American Imperial IPA, Rotating,8.1,No notes at this time.,f
188423,Dank IPA,29573,OR,US,American IPA, Fall,7.8,No notes at this time.,f
265228,Applewood Ale,47917,MA,US,Smoke Beer, Rotating,6,No notes at this time.,f
363261,Bakery: Coconut Macaroon,16866,CA,US,American Imperial Stout, Rotating,12.9,No notes at this time.,f
212313,Jamaican Me Crazy Coffee Stout,26634,KS,US,American Imperial Stout, Limited (brewed once),8,No notes at this time.,t
57062,Oxidizer,1550,,US,American Imperial IPA, Rotating,2.2,No notes at this time.,f
260913,Winter IPA,22779,KY,US,American IPA, Rotating,6.8,No notes at this time.,f
153810,Magic #411 - Wild Strawberry/Rhubarb/Vanilla Smoothie IPA,25314,5.5,SE,American IPA, Limited (brewed once),6,No notes at this time.,t
67003,Zephyr IPA,2792,CO,US,American IPA, Limited (brewed once),1,No notes at this time.,t
160048,Smiling Ivan,24488,LA,US,Russian Imperial Stout, Rotating,10,No notes at this time.,f
71065,Blueberry Blonde,18566,MN,US,Fruit and Field Beer, Summer,5,No notes at this time.,f
285931,Stallion Elixer,30229,MI,US,American Imperial IPA, Limited (brewed once),8.8,No notes at this time.,t
317270,Norway José IPA,34096,,ES,American IPA, Limited (brewed once),7,No notes at this time.,f
276123,Vienna Lager,35229,CO,US,Vienna Lager, Rotating,5.6,No notes at this time.,f
305592,Dirty Hop Water: My Ding-A-Ling,32656,AZ,US,American IPA, Limited (brewed once),5.8,No notes at this time.,t
45431,Early Iron ESB,13760,CO,US,English Extra Special / Strong Bitter (ESB), Limited (brewed once),2.3,No notes at this time.,t
103595,Milk Chocolate Cherry Stout,13981,NM,US,English Sweet / Milk Stout, Rotating,8,No notes at this time.,f
132213,Otway,33566,,IE,American Pale Ale (APA), Year-round,4.2,Otway is our take on an American Pale Ale – lower in alcohol but still big in flavour. A refreshing hop bite finishes with a touch of biscuit.,f
283781,Mildly Perplexed,64,DE,US,English Extra Special / Strong Bitter (ESB), Rotating,7,No notes at this time.,f
95570,Iki Beer Ginger,3521,,BE,Fruit and Field Beer, Year-round,5.5,No notes at this time.,f
335248,Cellared Double Gold Medal 2014 Wee Heavy,26565,MN,US,Scotch Ale / Wee Heavy, Limited (brewed once),9,No notes at this time.,f
293944,Falstaff's Revenge,9563,VA,US,American IPA, Rotating,6.7,No notes at this time.,f
287043,P'tite Brett,16495,QC,CA,American Pale Ale (APA), Rotating,3.8,No notes at this time.,f
48621,Hop Project #12,9020,TN,US,American IPA, Limited (brewed once),2,"And the hops keep coming... for this rendition of our soon-to-be-world-famous Hop Project Ale, which will be number 12 in the series, we featured two relatively new varieties called Apollo and Bravo. Apollo, which we used in #3 (if I remember right), has a really pungent nose. almost garlicy. Bravo is much more mellow, kind of lemony. They are both bred from a Galena variety to be high-alpha (around 16%) but much more stable in storage. We bittered the beer with Apollo and Zeus in the first wort, then added some Galena, Goldings, and Bravo at 30 minutes, and Simcoe, Goldings, and Bravo at 5 minutes for aroma. Then we dryhopped it with some Goldings and Amarillo. The old calculations say it's over 100 IBUs, which makes us happy.",t
92942,Hefeweizen,25890,NJ,US,German Hefeweizen, Rotating,5.5,"A pale, spicy, fruity, refreshing Hefeweizen originating in Southern Germany. The fast-maturing beer is lightly hopped with hallertau and shows a unique banana-and-clove yeast character. This is a specialty for summer consumption but enjoyed year-round by all. Prost!",t
100487,Appleanche,368,WI,US,Fruit and Field Beer, Limited (brewed once),7.7,This unique doppelbock packs a punch of apple flavor. The tart crispness of the apples is balanced with just enough malt sweetness to make this big beer dangerously smooth.,t
218488,8-6-Rye,44600,TN,US,Rye Beer, Year-round,4,No notes at this time.,f
