beer_id,beer_name,place_id,info_id
0,Olde Cogitator                                                                                      ,0,0
1,Konrads Stout Russian Imperial Stout                                                                ,1,1
2,Scottish Right                                                                                      ,2,2
3,MegaMeow Imperial Stout                                                                             ,3,3
4,Peaches-N-Cream                                                                                     ,4,4
5,World Burp Beer 2002                                                                                ,5,5
6,Icon Sender                                                                                         ,0,6
7,Divina IPA                                                                                          ,6,7
8,Light Of The Ozarks                                                                                 ,7,8
9,Warriors Bock                                                                                       ,8,9
10,Firehouse Coffee Stout                                                                              ,9,10
11,Coffee Infused Bitter                                                                               ,3,11
12,Belgian Style Wit                                                                                   ,3,12
13,Réserve No. 3                                                                                      ,10,13
14,Southern Saints India Wheat Ale                                                                     ,11,14
15,Champagne Toast                                                                                     ,3,15
16,The Sky Is High (wet Hopped Pale Ale)                                                               ,12,16
17,Addison                                                                                             ,4,17
18,Ocean Barley Wine                                                                                   ,13,18
19,Schwartz Hop                                                                                        ,0,19
20,Stove By A Whale                                                                                    ,14,20
21,Cerveza India                                                                                       ,15,21
22,Bojan Wielkopolskie                                                                                 ,16,22
23,Porter                                                                                              ,11,23
24,Sneaky Raz                                                                                          ,17,24
25,Rock Ice                                                                                            ,18,25
26,Eastwood - Equinox                                                                                  ,0,26
27,Fortuna                                                                                             ,19,27
28,Joy Division Series: No Love Lost                                                                   ,4,28
29,Walshtown                                                                                           ,20,29
30,Leinenkugels Ginger Shandy                                                                          ,21,30
31,Episode 6: Hazy Pale Ale Citra & Galaxy & Lemon Drop                                                ,16,31
32,Samuel Adams New World Lager                                                                        ,14,32
33,Bavarias Best Imperial Stout                                                                        ,22,33
34,Dudeling                                                                                            ,0,34
35,Eldo Fresh Hop IPA                                                                                  ,3,35
36,Troubadour Magma Special Edition 2011 - Cascade Hop                                                 ,23,36
37,Forest Nymph                                                                                        ,24,37
38,Trip In The Woods: Madeira Aged Ovila                                                               ,0,38
39,Tasmanian Wild Ale                                                                                  ,9,39
40,Weizen To ILL                                                                                       ,25,40
41,Furlong                                                                                             ,26,41
42,Iced Caramel Macchiato Stout                                                                        ,27,42
43,Redhook Double Black Stout                                                                          ,28,43
44,Cranberry                                                                                           ,29,44
45,Smoke On The Water                                                                                  ,30,45
46,Village V Anniversary - Barrel Aged Tripel                                                          ,31,46
47,Pretty Peach                                                                                        ,25,47
48,Mighty Fine                                                                                         ,17,48
49,Lomond Gold                                                                                         ,32,49
50,Wild Billy Winter Bock                                                                              ,0,50
51,Java-Lantern Porter                                                                                 ,11,51
52,George Dickel Whisky Barrel Aged Lemon Pale Ale                                                     ,33,52
53,Helles Bock                                                                                         ,34,53
54,Icon Series: Coffee Porter                                                                          ,35,54
55,Marina The Grim North Black IPA                                                                     ,36,55
56,Sheena                                                                                              ,37,56
57,La Blanche De Drummond                                                                              ,10,57
58,IPA                                                                                                 ,19,58
59,Three Flowers                                                                                       ,0,59
60,Mutter Zebains Dunkelhefe                                                                           ,28,60
61,La Temps Des Brunes                                                                                 ,23,61
62,Vibin’                                                                                            ,27,62
63,Aw Jeff-It                                                                                          ,24,63
64,Dank IPA                                                                                            ,38,64
65,Applewood Ale                                                                                       ,14,65
66,Bakery: Coconut Macaroon                                                                            ,0,66
67,Jamaican Me Crazy Coffee Stout                                                                      ,39,67
68,Oxidizer                                                                                            ,40,68
69,Winter IPA                                                                                          ,41,69
70,Magic #411 - Wild Strawberry/Rhubarb/Vanilla Smoothie IPA                                           ,42,35
71,Zephyr IPA                                                                                          ,19,70
72,Smiling Ivan                                                                                        ,43,71
73,Blueberry Blonde                                                                                    ,24,72
74,Stallion Elixer                                                                                     ,44,73
75,Norway José IPA                                                                                    ,36,74
76,Vienna Lager                                                                                        ,19,75
77,Dirty Hop Water: My Ding-A-Ling                                                                     ,45,76
78,Early Iron ESB                                                                                      ,19,77
79,Milk Chocolate Cherry Stout                                                                         ,46,78
80,Otway                                                                                               ,47,79
81,Mildly Perplexed                                                                                    ,48,80
82,Iki Beer Ginger                                                                                     ,23,81
83,Cellared Double Gold Medal 2014 Wee Heavy                                                           ,24,82
84,Falstaffs Revenge                                                                                   ,49,83
85,Ptite Brett                                                                                         ,10,84
86,Hop Project #12                                                                                     ,50,85
87,Hefeweizen                                                                                          ,12,86
88,Appleanche                                                                                          ,21,87
89,8-6-Rye                                                                                             ,50,88
90,Blueberry Grind                                                                                     ,51,89
91,Berlin Bulldog                                                                                      ,0,90
92,Chief Lightfoot                                                                                     ,3,91
93,Table Weiss                                                                                         ,45,92
94,Marzan Ale                                                                                          ,19,93
95,Kirkland Signature Brown Ale                                                                        ,3,94
96,Raspberry Swine Cooler                                                                              ,52,95
97,Red Carpet Ale                                                                                      ,0,96
98,Super Love                                                                                          ,44,97
99,Oh Four! Oatmeal Stout                                                                              ,44,98
100,The Union                                                                                           ,14,99
101,Nimbus ^2                                                                                           ,53,100
102,Go Devil                                                                                            ,54,101
103,Hr. Frederiksen Væsel Brunch                                                                       ,55,102
104,Derby Down                                                                                          ,49,103
105,Mikkeller / The Pastels – Pastelism                                                               ,55,104
106,Tree Hugging Wood Chopping Mother Loving IPA                                                        ,56,56
107,Faction Barleywine                                                                                  ,0,105
108,Nutha Mate Auz Ale                                                                                  ,57,106
109,16 Barrels Double Golden                                                                            ,38,107
110,Surrey Sour                                                                                         ,11,108
111,Wells Bombardier (English Premium Bitter)                                                           ,58,109
112,Plem                                                                                                ,58,110
113,Mint Chocolate Collusion                                                                            ,51,111
114,Deep Cut Reserve Series - RR#23                                                                     ,27,112
115,Rozha Hibiscus Lager                                                                                ,14,113
116,Dark Weasel Porter                                                                                  ,19,114
117,Speedway Stout - Honey Graham                                                                       ,0,115
118,Traust                                                                                              ,0,116
119,Chanukah Hanukkah Pass the Beer 2017                                                                ,59,117
120,Rhubarb Berlinerweiss                                                                               ,34,118
121,Belgian White                                                                                       ,11,119
122,Rye Crush                                                                                           ,3,120
123,Doehnelles                                                                                          ,3,35
124,Lookaftering                                                                                        ,57,121
125,Gose                                                                                                ,60,122
126,Steamed Fritz                                                                                       ,61,123
127,Barrel Project 18.01                                                                                ,4,124
128,Circle Of Trust                                                                                     ,62,125
129,Zeds Dead Blood Orange                                                                              ,34,126
130,Bootleg Oatmeal Stout                                                                               ,28,127
131,Daisy Mae                                                                                           ,9,128
132,Carmen - Kiwi                                                                                       ,46,129
