place_id,place_country,place_state
0,US        ,CA        
1,NO        ,NULL      
2,US        ,IN        
3,US        ,WA        
4,US        ,PA        
5,JP        ,NULL      
6,IT        ,NULL      
7,US        ,AR        
8,CA        ,SK        
9,AU        ,NULL      
10,CA        ,QC        
11,US        ,NC        
12,US        ,NJ        
13,SE        ,NULL      
14,US        ,MA        
15,PR        ,NULL      
16,PL        ,NULL      
17,US        ,GA        
18,CR        ,NULL      
19,US        ,CO        
20,US        ,SD        
21,US        ,WI        
22,DE        ,NULL      
23,BE        ,NULL      
24,US        ,MN        
25,US        ,IL        
26,CA        ,ON        
27,US        ,FL        
28,US        ,NH        
29,US        ,OH        
30,BR        ,NULL      
31,CA        ,AB        
32,GB        ,GB6       
33,US        ,NE        
34,US        ,NY        
35,US        ,TX        
36,ES        ,NULL      
37,RU        ,NULL      
38,US        ,OR        
39,US        ,KS        
40,US        ,NULL      
41,US        ,KY        
42,SE        ,5.5       
43,US        ,LA        
44,US        ,MI        
45,US        ,AZ        
46,US        ,NM        
47,IE        ,NULL      
48,US        ,DE        
49,US        ,VA        
50,US        ,TN        
51,US        ,MO        
52,US        ,VT        
53,US        ,HI        
54,CA        ,PE        
55,DK        ,NULL      
56,FI        ,NULL      
57,CA        ,BC        
58,GB        ,GB2       
59,US        ,ND        
60,US        ,DC        
61,US        ,SC        
62,NL        ,NULL      
63,US        ,UT        
64,US        ,WV        
65,AT        ,NULL      
66,IN        ,NULL      
67,GB        ,GB7       
68,US        ,CT        
69,FR        ,NULL      
70,EE        ,NULL      
71,NULL      ,NULL      
72,DK        ,1         
73,MX        ,NULL      
74,US        ,MD        
75,AM        ,NULL      
76,CA        ,NB        
77,PT        ,NULL      
78,RO        ,3.3       
79,US        ,IA        
80,AR        ,NULL      
81,US        ,NV        
82,US        ,OK        
83,US        ,ID        
84,CZ        ,NULL      
85,LV        ,NULL      
86,NZ        ,NULL      
87,US        ,ME        
88,CA        ,NS        
89,US        ,MT        
90,PY        ,NULL      
91,TH        ,NULL      
92,US        ,AK        
93,BE        ,2         
94,US        ,AL        
95,CL        ,NULL      
96,CH        ,NULL      
97,GB        ,GB5       
98,UA        ,NULL      
99,CN        ,NULL      
100,KZ        ,NULL      
101,FR        ,3         
102,RO        ,NULL      
103,LT        ,NULL      
104,HU        ,NULL      
105,US        ,WY        
106,RS        ,NULL      
107,US        ,RI        
108,DK        ,5.6       
109,MK        ,NULL      
110,ID        ,NULL      
111,HK        ,NULL      
112,PH        ,NULL      
